Date,cases
2021-12-14,50273275
2021-12-15,50416929
2021-12-16,50558750
2021-12-17,50751454
2021-12-18,50831224
2021-12-19,50920579
2021-12-20,51160283
2021-12-21,51339723
2021-12-22,51583455
2021-12-23,51853199
2021-12-24,52101937
2021-12-25,52188682
2021-12-26,52366988
2021-12-27,52867222
2021-12-28,53228997
2021-12-29,53730965
2021-12-30,54321539
2021-12-31,54835445
2022-01-01,55024405
2022-01-02,55310021
2022-01-03,56353960
2022-01-04,57165793
2022-01-05,57828317
2022-01-06,58662968
2022-01-07,59532669
2022-01-08,59930489
2022-01-09,60415679
2022-01-10,61797692
2022-01-11,62584114
2022-01-12,63433084
2022-01-13,64294792
2022-01-14,65174517
2022-01-15,65583812
2022-01-16,66063709
2022-01-17,66736359
2022-01-18,67865804
2022-01-19,68773919
2022-01-20,69506532
2022-01-21,70347617
2022-01-22,70651460
2022-01-23,71016688
2022-01-24,71936217
2022-01-25,72430323
2022-01-26,73055083
2022-01-27,73561374
2022-01-28,74175780
2022-01-29,74355127
2022-01-30,74553306
2022-01-31,75094240
2022-02-01,75420151
2022-02-02,75749528
2022-02-03,76024609
2022-02-04,76379876
2022-02-05,76466650
2022-02-06,76550227
2022-02-07,76895974
2022-02-08,77110845
2022-02-09,77299355
2022-02-10,77470794
2022-02-11,77680259
2022-02-12,77732314
2022-02-13,77790672
2022-02-14,77960564
2022-02-15,78071805
2022-02-16,78186693
2022-02-17,78288485
2022-02-18,78433772
2022-02-19,78465257
2022-02-20,78488282
2022-02-21,78571033
2022-02-22,78660514
2022-02-23,78745616
2022-02-24,78812640
2022-02-25,78887236
2022-02-26,78934671
2022-02-27,78950518
2022-02-28,79047371
2022-03-01,79094436
2022-03-02,79148161
2022-03-03,79197393
2022-03-04,79256814
2022-03-05,79272106
2022-03-06,79284134
2022-03-07,79339388
2022-03-08,79369007
2022-03-09,79406602
2022-03-10,79454920
2022-03-11,79507030
2022-03-12,79517492
2022-03-13,79523228
