Date,United Kingdom
2021-05-07,4446750
2021-05-08,4448806
2021-05-09,4450577
2021-05-10,4452954
2021-05-11,4455444
2021-05-12,4457741
2021-05-13,4460404
2021-05-14,4462602
2021-05-15,4464662
2021-05-16,4466589
2021-05-17,4468580
2021-05-18,4466218
2021-05-19,4468364
2021-05-20,4471063
2021-05-21,4473772
2021-05-22,4476296
2021-05-23,4478391
2021-05-24,4480757
2021-05-25,4483175
2021-05-26,4486166
2021-05-27,4489550
2021-05-28,4493580
2021-05-29,4496821
2021-05-30,4499935
2021-05-31,4503229
2021-06-01,4506331
2021-06-02,4510595
2021-06-03,4515776
2021-06-04,4521920
2021-06-05,4527575
2021-06-06,4532801
2021-06-07,4538391
2021-06-08,4544370
2021-06-09,4551689
2021-06-10,4558927
2021-06-11,4566895
2021-06-12,4574453
2021-06-13,4581778
2021-06-14,4589397
2021-06-15,4596992
2021-06-16,4605811
2021-06-17,4616623
2021-06-18,4626912
2021-06-19,4636990
2021-06-20,4646067
2021-06-21,4656542
2021-06-22,4668030
2021-06-23,4683984
2021-06-24,4700708
2021-06-25,4716039
2021-06-26,4734015
2021-06-27,4748673
2021-06-28,4771347
2021-06-29,4791597
2021-06-30,4817245
2021-07-01,4844879
2021-07-02,4871745
2021-07-03,4896279
2021-07-04,4920252
2021-07-05,4947404
2021-07-06,4975843
2021-07-07,5007979
2021-07-08,5040082
2021-07-09,5075805
2021-07-10,5107813
2021-07-11,5139355
2021-07-12,5173845
2021-07-13,5210245
2021-07-14,5252448
2021-07-15,5301013
2021-07-16,5353033
2021-07-17,5407420
2021-07-18,5455699
2021-07-19,5495707
2021-07-20,5542334
2021-07-21,5586503
2021-07-22,5626513
2021-07-23,5662651
2021-07-24,5694455
2021-07-25,5723536
2021-07-26,5748230
2021-07-27,5771599
2021-07-28,5797332
2021-07-29,5828224
2021-07-30,5857556
2021-07-31,5883411
2021-08-01,5907641
2021-08-02,5930003
2021-08-03,5951686
2021-08-04,5980830
2021-08-05,6010860
2021-08-06,6042493
2021-08-07,6070872
2021-08-08,6098140
2021-08-09,6123155
2021-08-10,6146599
2021-08-11,6175995
2021-08-12,6208867
2021-08-13,6241384
2021-08-14,6270663
2021-08-15,6297179
2021-08-16,6325482
2021-08-17,6352222
2021-08-18,6386034
2021-08-19,6422475
2021-08-20,6459589
2021-08-21,6491525
2021-08-22,6523594
2021-08-23,6555372
2021-08-24,6586148
2021-08-25,6621763
2021-08-26,6659880
2021-08-27,6697720
2021-08-28,6729909
2021-08-29,6762927
2021-08-30,6789249
2021-08-31,6821318
2021-09-01,6856890
2021-09-02,6894873
2021-09-03,6937223
2021-09-04,6973996
2021-09-05,7010583
2021-09-06,7051461
2021-09-07,7089002
2021-09-08,7127601
2021-09-09,7165161
2021-09-10,7202170
2021-09-11,7231113
2021-09-12,7259792
2021-09-13,7290143
2021-09-14,7316895
2021-09-15,7346829
2021-09-16,7373422
2021-09-17,7405974
2021-09-18,7435493
