Date,cases
2021-03-09,528434
2021-03-10,530006
2021-03-11,531580
2021-03-12,533011
2021-03-13,533996
2021-03-14,534528
2021-03-15,535240
2021-03-16,536501
2021-03-17,537718
2021-03-18,539366
2021-03-19,540412
2021-03-20,541189
2021-03-21,541944
2021-03-22,542507
2021-03-23,543462
2021-03-24,544956
2021-03-25,546330
2021-03-26,547503
2021-03-27,548328
2021-03-28,548791
2021-03-29,549424
2021-03-30,550331
2021-03-31,551433
2021-04-01,552551
2021-04-02,553453
2021-04-03,554224
2021-04-04,554534
2021-04-05,555015
2021-04-06,555849
2021-04-07,558455
2021-04-08,559481
2021-04-09,560390
2021-04-10,561122
2021-04-11,561410
2021-04-12,561855
2021-04-13,562735
2021-04-14,563670
2021-04-15,564574
2021-04-16,565441
2021-04-17,566151
2021-04-18,566497
2021-04-19,566984
2021-04-20,567831
2021-04-21,568723
2021-04-22,569661
2021-04-23,570415
2021-04-24,571179
2021-04-25,571479
2021-04-26,571953
2021-04-27,572626
2021-04-28,573630
2021-04-29,574515
2021-04-30,575321
2021-05-01,576065
2021-05-02,576387
2021-05-03,576865
2021-05-04,577776
2021-05-05,578594
2021-05-06,579415
2021-05-07,580231
2021-05-08,580866
2021-05-09,581124
2021-05-10,581519
2021-05-11,582207
2021-05-12,583010
2021-05-13,583798
2021-05-14,584433
2021-05-15,584963
2021-05-16,585231
2021-05-17,585622
2021-05-18,586404
2021-05-19,587085
2021-05-20,587774
2021-05-21,588397
2021-05-22,588884
2021-05-23,589080
2021-05-24,589512
2021-05-25,590159
2021-05-26,591153
2021-05-27,592499
2021-05-28,593029
2021-05-29,593381
2021-05-30,593530
2021-05-31,593702
2021-06-01,594335
2021-06-02,594897
2021-06-03,595533
2021-06-04,596057
2021-06-05,596641
2021-06-06,596804
2021-06-07,597120
2021-06-08,597440
2021-06-09,597920
2021-06-10,598339
2021-06-11,598874
2021-06-12,599150
2021-06-13,599257
2021-06-14,599442
2021-06-15,599772
2021-06-16,600160
2021-06-17,600480
2021-06-18,601086
2021-06-19,601268
2021-06-20,601344
2021-06-21,601604
2021-06-22,601950
2021-06-23,602348
2021-06-24,602691
2021-06-25,603214
2021-06-26,603370
2021-06-27,603447
2021-06-28,603593
2021-06-29,603921
2021-06-30,604224
2021-07-01,604507
2021-07-02,604941
2021-07-03,605034
2021-07-04,605075
2021-07-05,605200
2021-07-06,605501
2021-07-07,605824
2021-07-08,606067
2021-07-09,606530
2021-07-10,606616
2021-07-11,606738
2021-07-12,606967
2021-07-13,607327
2021-07-14,607655
2021-07-15,607984
2021-07-16,608439
2021-07-17,608516
2021-07-18,608603
2021-07-19,608794
2021-07-20,609082
2021-07-21,609445
2021-07-22,609731
2021-07-23,610288
2021-07-24,610414
2021-07-25,610512
2021-07-26,610773
2021-07-27,611215
2021-07-28,611592
2021-07-29,611913
2021-07-30,612793
2021-07-31,612961
2021-08-01,613186
2021-08-02,613529
2021-08-03,614105
2021-08-04,614643
2021-08-05,615161
2021-08-06,616294
2021-08-07,616549
2021-08-08,616673
2021-08-09,617194
2021-08-10,618028
2021-08-11,618818
2021-08-12,619839
2021-08-13,620888
2021-08-14,621154
2021-08-15,621358
2021-08-16,622382
2021-08-17,623406
2021-08-18,624605
2021-08-19,626381
2021-08-20,627840
2021-08-21,628404
2021-08-22,628609
2021-08-23,629940
2021-08-24,631354
2021-08-25,632893
2021-08-26,635086
2021-08-27,636818
2021-08-28,637467
2021-08-29,637777
2021-08-30,639483
2021-08-31,640902
2021-09-01,642940
2021-09-02,645931
2021-09-03,647867
2021-09-04,648516
2021-09-05,648923
2021-09-06,649547
2021-09-07,651619
2021-09-08,653889
2021-09-09,657109
2021-09-10,659587
2021-09-11,660408
2021-09-12,660778
2021-09-13,662945
2021-09-14,664835
2021-09-15,667574
2021-09-16,671026
2021-09-17,673475
2021-09-18,674453
2021-09-19,674839
2021-09-20,677147
2021-09-21,679597
2021-09-22,682278
2021-09-23,685567
2021-09-24,688041
2021-09-25,688865
2021-09-26,689432
2021-09-27,691711
2021-09-28,694213
2021-09-29,696831
2021-09-30,699635
2021-10-01,701770
2021-10-02,702593
2021-10-03,703127
2021-10-04,705050
2021-10-05,706917
2021-10-06,709569
2021-10-07,712038
2021-10-08,713839
2021-10-09,714266
2021-10-10,714742
2021-10-11,715924
2021-10-12,718218
2021-10-13,721434
2021-10-14,723601
2021-10-15,725400
2021-10-16,725946
2021-10-17,726407
2021-10-18,728179
2021-10-19,730311
2021-10-20,733485
2021-10-21,735477
2021-10-22,737335
2021-10-23,737875
2021-10-24,738128
2021-10-25,739603
2021-10-26,741188
2021-10-27,743242
2021-10-28,745086
2021-10-29,746812
2021-10-30,747184
2021-10-31,747417
2021-11-01,748699
2021-11-02,749969
2021-11-03,751928
2021-11-04,753134
2021-11-05,755267
2021-11-06,755729
2021-11-07,755927
2021-11-08,757188
2021-11-09,758610
2021-11-10,760293
2021-11-11,761165
2021-11-12,763626
2021-11-13,764186
2021-11-14,764380
2021-11-15,765694
2021-11-16,767026
2021-11-17,768670
2021-11-18,770023
2021-11-19,771816
2021-11-20,772266
2021-11-21,772480
2021-11-22,773740
2021-11-23,775116
2021-11-24,776829
2021-11-25,777300
2021-11-26,777671
2021-11-27,777982
2021-11-28,778227
2021-11-29,780162
2021-11-30,781801
2021-12-01,783858
2021-12-02,787768
2021-12-03,789343
2021-12-04,790013
2021-12-05,790400
2021-12-06,791827
2021-12-07,793393
2021-12-08,795209
2021-12-09,796774
2021-12-10,798574
2021-12-11,799174
2021-12-12,799525
2021-12-13,800938
2021-12-14,802493
2021-12-15,804741
2021-12-16,806025
2021-12-17,807879
2021-12-18,808522
2021-12-19,808817
2021-12-20,810409
2021-12-21,812356
2021-12-22,816554
2021-12-23,817942
2021-12-24,818633
2021-12-25,818862
2021-12-26,819209
2021-12-27,821000
2021-12-28,823316
2021-12-29,825671
2021-12-30,827165
2021-12-31,827877
2022-01-01,828265
2022-01-02,828642
2022-01-03,830485
2022-01-04,832793
2022-01-05,834973
2022-01-06,837006
2022-01-07,839400
2022-01-08,840207
2022-01-09,840790
2022-01-10,842826
2022-01-11,845304
2022-01-12,848104
2022-01-13,850605
2022-01-14,853336
2022-01-15,854303
2022-01-16,855037
2022-01-17,856053
2022-01-18,858747
2022-01-19,862185
2022-01-20,865051
2022-01-21,868414
2022-01-22,869374
2022-01-23,870074
2022-01-24,872265
2022-01-25,875436
2022-01-26,879245
2022-01-27,881782
2022-01-28,885872
2022-01-29,887026
2022-01-30,887479
2022-01-31,890139
2022-02-01,893471
2022-02-02,897039
2022-02-03,899452
2022-02-04,903564
2022-02-05,904429
2022-02-06,904874
2022-02-07,907960
2022-02-08,910950
2022-02-09,914379
2022-02-10,917605
2022-02-11,920286
2022-02-12,921080
2022-02-13,921629
2022-02-14,924814
2022-02-15,927412
2022-02-16,930589
2022-02-17,933477
2022-02-18,935951
2022-02-19,936590
2022-02-20,937005
2022-02-21,937890
2022-02-22,940061
2022-02-23,943149
2022-02-24,946099
2022-02-25,948130
2022-02-26,948826
2022-02-27,949018
2022-02-28,951114
2022-03-01,952808
2022-03-02,954906
2022-03-03,956651
2022-03-04,958363
2022-03-05,958656
2022-03-06,958840
2022-03-07,960505
2022-03-08,961843
2022-03-09,963819
2022-03-10,965464
2022-03-11,967165
2022-03-12,967552
2022-03-13,967720
